,,,,Basic indicators,,,,,,PV potential indicators,,,,,Power sector indicators,,,,,
KWT,Kuwait,,MENA,"4,137,309","17,820","17,820",83%,0.80,"34,244",5.68,4.82,0.09,1.31,2.001,30.5,7.4,100.0,15591,6,0.8
LAO,Lao People's Democratic Republic,,EAP,"7,061,507","230,800","230,800",36%,0.60,"2,568",4.48,3.87,0.11,1.62,#N/A,6.7,0.9,80.3,#N/A,2,12.9
LBN,Lebanon,,MENA,"6,848,925","10,230","10,230",77%,0.76,"8,270",5.36,4.83,0.09,1.97,1.021,41.7,6.1,100.0,2588,0,13.2
LBR,Liberia,,AFR,"4,818,977","96,320","96,320",93%,0.44,674,4.88,3.88,0.11,1.41,#N/A,2.6,0.5,1.3,#N/A,0,39
LBY,Libya,,MENA,"6,678,567","1,759,540","1,759,540",16%,0.71,"7,235",6.13,5.12,0.08,1.33,0.003,5.1,0.8,96.4,1811,0,11.6
LCA,Saint Lucia,,LCR,"181,889",610,610,34%,0.75,"10,315",5.40,4.52,0.09,1.18,#N/A,3.8,20.9,98.4,#N/A,7,30.9
LIE,Liechtenstein,,Other,"37,910",160,160,36%,0.92,"165,028",3.17,3.25,0.13,3.15,#N/A,0,0.0,100.0,#N/A,#N/A,9.3
LKA,Sri Lanka,,SOA,"21,670,000","62,710","62,710",73%,0.77,"4,102",5.28,4.21,0.10,1.43,0.082,159.1,7.3,94.6,531,6,16.9
LSO,Lesotho,,AFR,"2,108,132","30,360","30,360",64%,0.52,"1,324",5.54,5.13,0.08,1.17,#N/A,0.4,0.2,15.7,#N/A,0,13.9
LTU,Lithuania,,ECA,"2,789,533","62,642","62,642",81%,0.86,"19,090",2.82,2.87,0.12,7.69,0.404,83.8,30.0,100.0,3821,8,8.3
LUX,Luxembourg,,Other,"607,728","2,430","2,430",81%,0.90,"114,340",3.02,2.95,0.12,4.39,5.684,134,220.5,100.0,13915,7,10.6
LVA,Latvia,,ECA,"1,926,542","62,180","62,180",71%,0.85,"18,089",2.77,2.85,0.13,8.80,0.302,1.2,0.6,100.0,3507,7,9.9
MAC,"Macau, SAR",,EAP,"631,636",30,30,83%,#N/A,"86,355",4.09,3.40,0.10,1.57,#N/A,0,0.0,#N/A,#N/A,#N/A,#N/A
MAR,Morocco,,MENA,"36,029,138","446,300","446,300",81%,0.67,"3,238",5.56,5.01,0.09,1.31,0.041,205.5,5.7,100.0,904,7,12.3
MDA,Moldova,,ECA,"3,545,883","32,890","32,890",96%,0.70,"3,189",3.55,3.45,0.12,3.52,0.186,2,0.6,100.0,1386,7,8.8
MDG,Madagascar,,AFR,"26,262,368","581,800","581,800",77%,0.52,461,5.63,4.76,0.09,1.31,#N/A,33,1.3,17.3,#N/A,0,15.7
MDV,Maldives,,SOA,"515,696",300,300,52%,0.72,"10,224",5.59,4.44,0.10,1.34,#N/A,9.4,18.2,100.0,#N/A,0,44.9
MEX,Mexico,,LCR,"126,190,788","1,943,950","1,943,950",69%,0.77,"9,698",5.73,4.92,0.09,1.33,0.068,2541,20.1,100.0,2157,7,11.5
MHL,Marshall Islands,,EAP,"58,413",180,180,19%,#N/A,"3,621",5.37,4.24,0.10,1.20,#N/A,#N/A,#N/A,89.1,#N/A,0,39.1
MKD,North Macedonia,,ECA,"2,082,958","25,220","25,220",68%,0.76,"6,084",4.05,3.88,0.11,2.47,0.264,20.6,9.9,100.0,3497,5,12.8
MLI,Mali,,AFR,"19,077,690","1,220,190","1,220,190",40%,0.43,901,6.02,4.68,0.09,1.24,#N/A,19.6,1.0,1.8,#N/A,0,13.6
MLT,Malta,,MENA,"483,530",320,320,69%,0.88,"30,075",5.01,4.56,0.09,2.03,4.866,127.3,263.3,100.0,4925,5,17
MMR,Myanmar,,EAP,"53,708,395","653,080","653,080",52%,0.58,"1,326",4.69,4.14,0.10,1.83,0.01,54.9,1.0,39.8,215,1,8.3
MNE,Montenegro,,ECA,"622,345","13,450","13,450",61%,0.81,"8,761",3.86,3.82,0.11,2.32,0.208,3.4,5.5,100.0,4612,5,13.3
MNG,Mongolia,,EAP,"3,170,208","1,553,560","1,553,560",49%,0.74,"4,104",4.32,4.76,0.09,1.86,0.004,62.7,19.8,44.2,2006,3,5.9
MNP,Northern Mariana Islands (U.S.),,Other,"56,882",460,460,27%,#N/A,"28,164",5.56,4.65,0.09,1.32,#N/A,0,0.0,100.0,#N/A,#N/A,#N/A
MOZ,Mozambique,,AFR,"29,495,962","786,380","786,380",85%,0.44,490,5.38,4.44,0.10,1.23,0.009,17,0.6,5.0,479,4,10.4
MRT,Mauritania,,AFR,"4,403,319","1,030,700","1,030,700",25%,0.52,"1,219",6.04,4.75,0.09,1.20,#N/A,86.1,19.6,2.3,#N/A,2,17.7
MUS,Mauritius,,AFR,"1,265,303","2,030","2,030",76%,0.79,"11,239",5.01,4.21,0.10,1.36,0.681,30,23.7,100.0,2183,6,19.6
MWI,Malawi,,AFR,"18,143,315","94,280","94,280",93%,0.48,389,5.59,4.60,0.09,1.38,#N/A,22.7,1.3,4.0,#N/A,0,11.5
MYS,Malaysia,,EAP,"31,528,585","328,550","328,550",26%,0.80,"11,239",4.71,3.74,0.11,1.32,0.215,437.8,13.9,100.0,4652,8,11.6
NAM,Namibia,,AFR,"2,448,255","823,290","823,290",73%,0.65,"5,931",6.40,5.38,0.08,1.17,0.002,78.8,32.2,28.7,1653,6,13.5
NCL,New Caledonia (Fr.),,Other,"284,060","18,280","18,280",46%,#N/A,#N/A,4.57,3.98,0.11,1.37,#N/A,32.8,115.5,100.0,#N/A,#N/A,#N/A
NER,Niger,,AFR,"22,442,948","1,266,700","1,266,700",30%,0.35,412,6.26,4.84,0.09,1.24,0,20,0.9,4.7,51,0,19.3
NGA,Nigeria,,AFR,"195,874,740","910,770","910,770",97%,0.53,"2,028",5.44,4.30,0.10,1.40,0.014,19.1,0.1,41.1,145,0,13.6
NIC,Nicaragua,,LCR,"6,465,513","120,340","120,340",69%,0.66,"2,029",5.04,4.11,0.10,1.36,0.015,30.3,4.7,56.6,568,4,33.7
NLD,Netherlands,,Other,"17,231,017","33,690","33,690",82%,0.93,"53,024",2.86,2.86,0.12,4.33,6.646,4150,240.8,100.0,6713,8,10.6
NOR,Norway,up to parallel 60°N,Other,"5,314,336","365,123","54,569",55%,0.95,"81,807",2.58,2.76,0.13,14.97,4.282,68.4,12.9,100.0,23000,8,10
NPL,Nepal,,SOA,"28,087,871","143,350","143,350",28%,0.57,"1,026",4.53,4.00,0.11,1.59,0.019,53.3,1.9,85.2,146,0,11.4
NRU,Nauru,,EAP,"12,704",20,20,100%,#N/A,"9,030",5.88,4.65,0.09,1.18,#N/A,0.7,55.1,#N/A,#N/A,#N/A,#N/A
NZL,New Zealand,,Other,"4,885,500","263,310","263,310",42%,0.92,"41,966",3.54,3.68,0.10,1.84,0.162,79.2,16.2,100.0,9026,7,11.5
OMN,Oman,,MENA,"4,829,483","309,500","309,500",45%,0.82,"16,419",6.28,5.17,0.08,1.34,0.045,8.2,1.7,100.0,6446,7,5.1
PAK,Pakistan,,SOA,"212,215,030","770,880","770,880",72%,0.56,"1,473",5.34,4.71,0.09,1.37,0.071,1568.1,7.4,98.8,448,0,18.7
PAN,Panama,,LCR,"4,176,873","74,340","74,340",48%,0.79,"15,575",4.74,3.97,0.11,1.42,0.056,146.7,35.1,81.3,2064,7,18.8
PER,Peru,,LCR,"31,989,256","1,280,000","1,280,000",25%,0.75,"6,947",5.15,4.90,0.09,1.36,0.013,345.1,10.8,75.6,1346,6,17.1
PHL,Philippines,,EAP,"106,651,922","298,170","298,170",46%,0.70,"3,103",4.73,3.93,0.11,1.49,0.124,886.4,8.3,86.3,696,6,16.4
PLW,Palau,,EAP,"17,907",460,460,22%,0.80,"17,318",4.98,4.01,0.11,1.30,#N/A,1.3,72.6,97.2,#N/A,0,31.1
PNG,Papua New Guinea,,EAP,"8,606,316","452,860","452,860",18%,0.54,"2,723",4.48,3.69,0.12,1.36,#N/A,1.5,0.2,15.5,#N/A,4,30.3
POL,Poland,,ECA,"37,978,548","306,190","306,190",76%,0.87,"15,424",2.98,2.98,0.12,4.90,0.904,486.5,12.8,100.0,3972,7,13.2
PRI,Puerto Rico (U.S.),,Other,"3,195,153","8,870","8,870",66%,#N/A,"31,651",5.27,4.40,0.10,1.18,#N/A,165.2,51.7,100.0,#N/A,3,24.5
PRK,D. P. R. of Korea,,Other,"25,549,819","120,410","120,410",53%,#N/A,#N/A,3.86,3.92,0.11,1.46,0.117,10.7,0.4,39.2,602,#N/A,#N/A
PRT,Portugal,,Other,"10,281,762","91,606","91,606",92%,0.85,"23,146",4.57,4.32,0.08,2.07,0.375,670.2,65.2,100.0,4663,8,25.2
PRY,Paraguay,,LCR,"6,956,071","397,300","397,300",54%,0.70,"5,871",5.08,4.28,0.10,1.45,0.015,0,0.0,96.1,1552,3,6.5
PSE,West Bank and Gaza,,MENA,"4,569,087","6,020","6,020",90%,#N/A,"3,199",5.61,4.93,0.09,1.63,#N/A,#N/A,#N/A,100.0,#N/A,5,17.1
PYF,French Polynesia (Fr.),,Other,"277,679","3,660","3,660",10%,#N/A,#N/A,5.26,4.39,0.07,1.24,#N/A,34,122.4,100.0,#N/A,#N/A,#N/A
QAT,Qatar,,MENA,"2,781,677","11,610","11,610",90%,0.86,"69,026",5.90,4.92,0.09,1.23,1.775,5.1,1.8,100.0,14782,5,4
ROU,Romania,,ECA,"19,473,936","230,080","230,080",76%,0.81,"12,301",3.57,3.52,0.12,3.07,0.257,1377.1,70.7,100.0,2584,7,5.9
RUS,Russian Federation,up to parallel 60°N,ECA,"144,478,050","16,376,870","8,019,565",45%,0.82,"11,289",3.12,3.36,0.23,6.70,0.102,545.7,3.8,100.0,6603,8,8.2
RWA,Rwanda,,AFR,"12,301,939","24,670","24,670",78%,0.52,773,5.08,4.10,0.10,1.22,#N/A,30.3,2.5,17.8,#N/A,5,13.9
SAU,Saudi Arabia,,MENA,"33,699,947","2,149,690","2,149,690",38%,0.85,"23,219",6.21,5.16,0.09,1.21,0.069,89.3,2.6,100.0,9401,6,7.6
SDN,Sudan,,AFR,"41,801,533",#N/A,"1,886,068",46%,0.50,977,6.32,4.94,0.09,1.42,#N/A,17.6,0.4,22.2,190,3,4.4
SEN,Senegal,,AFR,"15,854,360","192,530","192,530",83%,0.51,"1,522",5.80,4.58,0.09,1.28,0.009,134,8.5,38.3,229,5,17.3
SGP,Singapore,,Other,"5,638,676",709,709,49%,0.93,"64,582",4.49,3.55,0.12,1.26,35.19,150,26.6,#N/A,8845,7,10.2
SLB,Solomon Islands,,EAP,"652,858","27,990","27,990",8%,0.55,"2,163",4.40,3.69,0.12,1.28,#N/A,2.5,3.8,41.5,#N/A,3,67.4
SLE,Sierra Leone,,AFR,"7,650,154","72,180","72,180",97%,0.42,523,5.12,4.09,0.10,1.46,#N/A,4.2,0.5,2.5,#N/A,0,20.4
SLV,El Salvador,,LCR,"6,420,744","20,720","20,720",81%,0.67,"4,058",5.92,4.83,0.09,1.33,0.125,184.2,28.7,98.8,937,6,16.7
SMR,San Marino,,Other,"33,785",60,60,86%,#N/A,"48,495",3.93,3.76,0.10,2.60,#N/A,0,0.0,100.0,#N/A,6,13.8
SOM,Somalia,,AFR,"15,008,154","627,340","627,340",90%,#N/A,315,6.03,4.76,0.09,1.50,#N/A,7.1,0.5,11.6,#N/A,#N/A,#N/A
SRB,Serbia,,ECA,"6,982,084","87,460","87,460",84%,0.79,"7,234",3.68,3.52,0.12,2.99,0.373,10,1.4,100.0,4272,5,7.3
SSD,South Sudan,,AFR,"10,975,920",#N/A,"619,745",65%,0.39,283,5.68,4.46,0.10,1.40,#N/A,0.5,0.0,5.9,44,#N/A,#N/A
STP,São Tomé and Príncipe,,AFR,"211,028",960,960,20%,0.59,"2,001",4.30,3.47,0.12,1.36,#N/A,0.1,0.5,51.1,#N/A,0,17
SUR,Suriname,,LCR,"575,991","156,000","156,000",6%,0.72,"5,950",5.38,4.27,0.10,1.33,0.006,6.9,12.0,69.3,3597,0,7.3
SVK,Slovakia,,ECA,"5,447,011","48,080","48,080",59%,0.86,"19,547",3.25,3.27,0.11,3.57,0.83,531,97.5,100.0,5137,8,11.6
SVN,Slovenia,,ECA,"2,067,372","20,142","20,142",47%,0.90,"26,234",3.45,3.43,0.10,2.87,0.842,255.8,123.7,100.0,6728,8,14.6
SWE,Sweden,up to parallel 60°N,Other,"10,183,175","407,310","142,950",48%,0.93,"54,112",2.69,2.84,0.13,7.85,1.936,421,41.3,100.0,13480,8,10.2
SWZ,Eswatini,,AFR,"1,136,191","17,200","17,200",92%,0.59,"4,140",4.85,4.32,0.10,1.16,#N/A,0.9,0.8,61.2,#N/A,0,16.2
SXM,Sint Maarten (Neth.),,Other,"40,654",34,34,69%,#N/A,#N/A,5.84,4.87,0.08,1.21,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
SYC,Seychelles,,AFR,"96,762",460,460,20%,0.80,"16,434",5.63,4.35,0.10,1.22,#N/A,3.5,36.2,100.0,#N/A,3,31.1
SYR,Syrian Arab Republic,,MENA,"16,906,283","183,630","183,630",79%,0.54,#N/A,5.45,4.85,0.09,1.77,0.055,1.4,0.1,100.0,974,0,6.7
TCA,Turks and Caicos Islands (U.K.),,Other,"37,665",950,950,85%,#N/A,"27,142",5.60,4.72,0.09,1.23,#N/A,0.4,10.6,42.7,#N/A,#N/A,#N/A
TCD,Chad,,AFR,"15,477,751","1,259,200","1,259,200",46%,0.40,730,6.26,4.84,0.09,1.38,#N/A,0.2,0.0,2.2,#N/A,0,20.5
TGO,Togo,,AFR,"7,889,094","54,390","54,390",98%,0.50,672,5.22,4.12,0.10,1.41,0.011,3,0.4,19.4,155,3,17
THA,Thailand,,EAP,"69,428,524","510,890","510,890",75%,0.75,"7,274",4.93,4.06,0.10,1.48,0.175,2720.2,39.2,100.0,2539,8,12.6
TJK,Tajikistan,,ECA,"9,100,837","138,790","138,790",36%,0.65,827,4.51,4.34,0.10,2.46,0.074,0,0.0,100.0,1499,0,6.4
TKM,Turkmenistan,,ECA,"5,850,908","469,930","469,930",36%,0.71,"6,967",4.72,4.37,0.10,2.09,0.025,0,0.0,100.0,2679,#N/A,#N/A
TLS,Timor-Leste,,EAP,"1,267,972","14,870","14,870",63%,0.62,"2,036",5.32,4.34,0.10,1.54,#N/A,0.6,0.5,49.2,#N/A,0,21.5
TON,Tonga,,EAP,"103,197",720,720,41%,0.73,"4,364",4.80,4.01,0.11,1.43,#N/A,6.2,60.1,96.6,#N/A,3,38.5
TTO,Trinidad and Tobago,,LCR,"1,389,858","5,130","5,130",39%,0.78,"16,844",5.38,4.35,0.10,1.19,0.865,3.3,2.4,100.0,7093,6,6.7
TUN,Tunisia,,MENA,"11,565,204","155,360","155,360",76%,0.73,"3,447",5.30,4.74,0.09,1.48,0.068,47.1,4.1,100.0,1455,6,9.7
TUR,Turkey,,ECA,"82,319,724","769,630","769,630",79%,0.79,"9,311",4.60,4.32,0.08,2.41,0.23,5062.9,61.5,100.0,2847,5,10.1
TUV,Tuvalu,,EAP,"11,508",30,30,94%,#N/A,"3,701",5.34,4.27,0.10,1.23,#N/A,#N/A,#N/A,98.5,#N/A,#N/A,#N/A
TZA,Tanzania,,AFR,"56,318,348","885,800","885,800",81%,0.54,"1,051",5.66,4.51,0.09,1.31,0.003,25.4,0.5,16.9,104,5,12.6
UGA,Uganda,,AFR,"42,723,139","200,520","200,520",82%,0.52,643,5.64,4.46,0.10,1.24,#N/A,48,1.1,18.0,#N/A,0,17.1
UKR,Ukraine,,ECA,"44,622,516","579,290","579,290",89%,0.75,"3,095",3.35,3.30,0.13,4.55,0.37,2002.7,44.9,100.0,3419,6,7.1
URY,Uruguay,,LCR,"3,449,299","175,020","175,020",95%,0.80,"17,278",4.79,4.30,0.10,1.65,0.039,248.2,72.0,100.0,3085,6,16.9
USA,United States of America,up to parallel 60°N,Other,"327,167,434","9,147,420","8,039,753",66%,0.92,"62,641",4.50,4.36,0.10,1.88,0.425,49692,151.9,100.0,12994,7.2,17.1
UZB,Uzbekistan,,ECA,"32,955,400","425,400","425,400",48%,0.71,"1,532",4.51,4.27,0.10,2.48,0.107,3.9,0.1,100.0,1645,8,5.7
VCT,Saint Vincent and the Grenadines,,LCR,"110,210",390,390,50%,0.72,"7,378",5.19,4.27,0.10,1.24,#N/A,1.3,11.8,100.0,#N/A,0,31.5
VEN,R. B. de Venezuela,,LCR,"28,870,195","882,050","882,050",46%,0.76,#N/A,5.35,4.35,0.10,1.26,0.039,4,0.1,96.4,2719,0,#N/A
VGB,British Virgin Islands (U.K.),,Other,"29,802",150,150,53%,#N/A,#N/A,5.76,4.85,0.09,1.22,#N/A,0.2,6.7,#N/A,#N/A,#N/A,#N/A
VIR,United States Virgin Islands (U.S.),,Other,"106,977",350,350,62%,#N/A,"35,938",5.69,4.75,0.08,1.21,#N/A,5,46.7,100.0,#N/A,#N/A,#N/A
VNM,Vietnam,,EAP,"95,540,395","310,070","310,070",59%,0.69,"2,564",4.25,3.55,0.12,1.74,0.251,106.4,1.1,100.0,1424,7,12.3
VUT,Vanuatu,,EAP,"292,680","12,190","12,190",10%,0.60,"3,033",4.30,3.53,0.12,1.46,#N/A,2.7,9.2,46.4,#N/A,4,43.6
WSM,Samoa,,EAP,"196,130","2,830","2,830",9%,0.71,"4,392",4.78,4.05,0.11,1.25,#N/A,13.5,68.8,100.0,#N/A,4,39.1
XKO,Kosovo,,ECA,"1,845,300","10,887","10,887",79%,#N/A,"4,281",3.85,3.70,0.12,2.70,#N/A,#N/A,#N/A,#N/A,#N/A,2,#N/A
YEM,Republic of Yemen,,MENA,"28,498,687","527,970","527,970",52%,0.45,944,6.47,5.21,0.08,1.41,0.005,150,5.3,57.7,220,#N/A,#N/A
ZAF,South Africa,,AFR,"57,779,622","1,213,090","1,213,090",84%,0.70,"6,374",5.63,5.00,0.11,1.23,0.116,2558.8,44.3,67.9,4198,4,14.8
ZMB,Zambia,,AFR,"17,351,822","743,390","743,390",80%,0.59,"1,540",5.88,4.83,0.09,1.39,0.007,5,0.3,2.7,717,4,4.7
ZWE,Zimbabwe,,AFR,"14,439,018","386,850","386,850",95%,0.53,"2,147",5.78,4.86,0.09,1.27,0.01,10.6,0.7,15.6,609,0,11.9