,,,,"Theoretical potential (GHI, kWh/m2/day), long-term",,,,,,,,"Practical potential  (PVOUT Level 1, kWh/kWp/day), long-term",,,,,,,
ISO_A3,Country or region,Note,World Bank Region,Minimum,10th percentile,25th Percentile,Average,Median,75th Percentile,90th percentile,Maximum,Minimum,10th percentile,25th Percentile,Average,Median,75th Percentile,90th percentile,Maximum
ABW,Aruba (Neth.),,Other,5.87,5.97,6.07,6.11,6.15,6.16,6.18,6.23,4.74,4.85,4.94,4.96,4.99,5.01,5.02,5.05
AFG,Afghanistan,,SOA,4.14,4.85,5.16,5.49,5.67,5.83,5.90,6.07,4.13,4.47,4.77,5.02,5.09,5.29,5.42,5.55
AGO,Angola,,AFR,4.40,5.19,5.54,5.75,5.80,6.04,6.24,6.55,3.54,4.15,4.41,4.66,4.72,4.97,5.11,5.31
ALB,Albania,,ECA,3.42,3.92,4.07,4.20,4.22,4.34,4.47,4.57,3.59,3.84,3.96,4.04,4.06,4.15,4.23,4.31
AND,Andorra,,Other,3.57,3.85,3.97,4.05,4.07,4.15,4.20,4.39,3.62,3.97,4.05,4.20,4.25,4.35,4.41,4.50
ARE,United Arab Emirates,,MENA,5.72,5.93,6.00,6.05,6.06,6.11,6.15,6.18,4.77,4.94,4.97,5.00,5.01,5.05,5.08,5.11
ARG,Argentina,up to parallel 45°S,LCR,4.03,4.64,4.85,5.12,5.01,5.14,5.79,7.25,4.02,4.27,4.38,4.60,4.48,4.66,4.99,6.44
ARM,Armenia,,ECA,3.47,3.72,4.01,4.22,4.31,4.46,4.60,4.68,3.39,3.66,4.03,4.11,4.18,4.29,4.34,4.43
ASM,American Samoa (U.S.),,Other,4.35,4.66,4.77,4.92,4.92,5.07,5.16,5.39,3.58,3.78,3.85,3.98,3.94,4.14,4.25,4.32
ATG,Antigua and Barbuda,,LCR,5.43,5.55,5.65,5.75,5.76,5.87,5.95,6.00,4.48,4.58,4.68,4.77,4.78,4.87,4.94,4.97
AUS,Australia,,Other,3.77,5.02,5.50,5.76,5.93,6.15,6.26,6.37,3.69,4.26,4.51,4.71,4.73,4.96,5.16,5.31
AUT,Austria,,Other,2.55,2.97,3.12,3.21,3.23,3.33,3.45,3.59,2.79,3.11,3.16,3.26,3.22,3.36,3.46,3.74
AZE,Azerbaijan,,ECA,3.44,3.76,3.94,4.04,4.06,4.11,4.20,4.80,3.44,3.64,3.72,3.82,3.79,3.87,3.99,4.47
BDI,Burundi,,AFR,4.47,4.86,5.11,5.19,5.22,5.35,5.44,5.54,3.72,3.98,4.11,4.17,4.18,4.27,4.35,4.49
BEL,Belgium,,Other,2.85,2.89,2.92,2.94,2.95,2.97,2.99,3.05,2.81,2.86,2.89,2.92,2.92,2.94,2.97,3.05
BEN,Benin,,AFR,4.64,4.81,5.04,5.33,5.45,5.59,5.67,5.77,3.67,3.79,3.98,4.20,4.31,4.40,4.46,4.52
BFA,Burkina Faso,,AFR,5.43,5.63,5.72,5.81,5.82,5.91,5.98,6.02,4.28,4.43,4.50,4.57,4.58,4.65,4.70,4.74
BGD,Bangladesh,,SOA,4.33,4.45,4.51,4.60,4.60,4.65,4.76,4.95,3.68,3.79,3.83,3.88,3.87,3.90,4.00,4.23
BGR,Bulgaria,,ECA,3.42,3.74,3.83,3.87,3.87,3.94,4.03,4.19,3.41,3.62,3.66,3.70,3.69,3.75,3.82,4.02
BHR,Bahrain,,MENA,5.50,5.64,5.70,5.75,5.77,5.81,5.84,5.88,4.64,4.75,4.80,4.87,4.87,4.94,4.98,5.02
BHS,The Bahamas,,LCR,5.01,5.11,5.18,5.36,5.37,5.51,5.63,5.82,4.33,4.36,4.43,4.55,4.53,4.66,4.75,4.88
BIH,Bosnia and Herzegovina,,ECA,3.25,3.49,3.54,3.66,3.59,3.68,4.05,4.24,3.22,3.37,3.41,3.57,3.45,3.72,3.99,4.10
BLR,Belarus,,ECA,2.76,2.82,2.86,2.94,2.94,3.01,3.05,3.13,2.81,2.86,2.89,2.95,2.96,3.00,3.03,3.11
BLZ,Belize,,LCR,4.56,4.81,4.95,5.05,5.07,5.16,5.23,5.56,3.92,4.06,4.11,4.18,4.17,4.22,4.32,4.59
BMU,Bermuda (U.K.),,Other,4.70,4.71,4.71,4.73,4.73,4.75,4.76,4.76,4.15,4.16,4.16,4.18,4.19,4.20,4.21,4.22
BOL,Bolivia,,LCR,3.81,4.88,5.07,5.42,5.15,5.39,6.79,7.29,3.83,4.11,4.18,4.94,4.38,5.77,6.07,6.37
BRA,Brazil,,LCR,4.15,4.88,5.04,5.28,5.27,5.50,5.74,6.12,3.75,4.08,4.24,4.40,4.42,4.58,4.70,4.92
BRB,Barbados,,LCR,5.51,5.59,5.70,5.77,5.77,5.86,5.96,6.00,4.49,4.59,4.67,4.72,4.71,4.77,4.84,4.89
BRN,Brunei Darussalam,,Other,4.27,4.70,4.77,4.84,4.86,4.91,4.97,5.21,3.74,3.81,3.84,3.90,3.88,3.93,4.04,4.17
BTN,Bhutan,,SOA,3.09,3.49,3.70,3.94,3.94,4.18,4.38,4.77,3.12,3.45,3.57,3.92,3.88,4.26,4.45,4.73
BWA,Botswana,,AFR,5.59,5.86,6.03,6.07,6.09,6.14,6.23,6.34,4.71,4.92,5.05,5.11,5.11,5.19,5.26,5.45
CAF,Central African Republic,,AFR,5.20,5.42,5.57,5.70,5.72,5.83,5.93,6.12,4.19,4.29,4.37,4.47,4.47,4.55,4.62,4.84
CAN,Canada,up to parallel 60°N,Other,2.39,2.96,3.10,3.25,3.23,3.41,3.64,3.97,2.82,3.43,3.62,3.82,3.78,4.13,4.20,4.33
CHE,Switzerland,,Other,2.61,3.10,3.25,3.36,3.34,3.50,3.64,3.87,2.78,3.18,3.23,3.36,3.31,3.48,3.63,4.11
CHL,Chile,up to parallel 45°S,LCR,2.64,3.66,4.78,5.76,6.07,7.07,7.25,7.41,3.21,4.16,4.60,5.36,5.78,6.07,6.28,6.53
CHN,China,,EAP,2.64,3.36,3.69,4.13,4.10,4.54,4.89,5.93,2.24,2.85,3.24,3.88,3.95,4.49,4.75,5.75
CIV,Côte d'Ivoire,,AFR,4.48,4.66,4.79,5.05,4.98,5.33,5.58,5.70,3.55,3.69,3.78,4.00,3.95,4.23,4.42,4.51
CMR,Cameroon,,AFR,4.29,4.74,4.90,5.30,5.24,5.75,5.85,6.00,3.43,3.75,3.90,4.28,4.46,4.57,4.65,4.78
COD,Democratic Republic of Congo,,AFR,4.32,4.86,4.97,5.19,5.17,5.39,5.60,5.93,3.41,3.98,4.09,4.26,4.23,4.42,4.61,4.86
COG,Congo,,AFR,4.13,4.33,4.65,4.86,4.99,5.07,5.15,5.29,3.28,3.40,3.56,3.77,3.86,3.99,4.02,4.10
COL,Colombia,,LCR,3.27,4.18,4.74,4.87,4.89,5.15,5.43,6.00,2.82,3.48,3.89,4.05,4.10,4.30,4.47,4.91
COM,Comoros,,AFR,4.17,4.59,4.82,5.05,5.04,5.33,5.53,5.76,3.72,4.02,4.12,4.29,4.28,4.46,4.56,4.70
CPV,Cabo Verde,,AFR,4.92,5.25,5.50,5.64,5.71,5.80,5.87,6.18,4.16,4.38,4.63,4.68,4.73,4.79,4.84,5.16
CRI,Costa Rica,,LCR,3.50,4.21,4.57,4.89,4.80,5.34,5.63,5.80,3.09,3.62,3.76,4.09,4.17,4.46,4.58,4.63
CUB,Cuba,,Other,4.73,5.23,5.34,5.41,5.42,5.51,5.61,5.85,4.09,4.43,4.48,4.54,4.53,4.59,4.68,4.87
CUW,Curaçao (Neth.),,Other,5.67,5.78,5.88,5.96,5.97,6.07,6.14,6.18,4.59,4.68,4.77,4.83,4.84,4.92,4.97,5.00
CYM,Cayman Islands (U.K.),,Other,5.40,5.43,5.45,5.56,5.52,5.69,5.73,5.81,4.48,4.51,4.53,4.63,4.61,4.73,4.77,4.83
CYP,Cyprus,,ECA,4.80,5.02,5.13,5.21,5.23,5.32,5.37,5.44,4.33,4.55,4.62,4.70,4.71,4.79,4.84,4.91
CZE,Czech Republic,,ECA,2.86,2.97,3.04,3.08,3.09,3.12,3.19,3.28,2.85,2.96,3.01,3.05,3.05,3.09,3.14,3.22
DEU,Germany,,Other,2.75,2.81,2.86,2.98,2.95,3.09,3.21,3.34,2.75,2.80,2.85,2.96,2.94,3.04,3.17,3.33
DJI,Djibouti,,MENA,5.61,5.77,5.97,6.06,6.10,6.19,6.23,6.33,4.43,4.56,4.72,4.80,4.82,4.90,4.97,5.10
DMA,Dominica,,LCR,3.95,4.37,4.55,4.94,4.93,5.38,5.56,5.80,3.26,3.57,3.72,3.97,3.91,4.17,4.50,4.72
DNK,Denmark,,Other,2.64,2.67,2.71,2.77,2.76,2.81,2.88,3.02,2.68,2.73,2.77,2.84,2.84,2.90,2.97,3.10
DOM,Dominican Republic,,LCR,4.59,5.04,5.19,5.42,5.36,5.66,5.90,6.12,4.09,4.30,4.36,4.57,4.54,4.76,4.92,5.05
DZA,Algeria,,MENA,4.64,5.34,5.78,5.92,6.02,6.14,6.36,6.51,4.12,4.51,4.75,4.92,5.00,5.12,5.19,5.46
ECU,Ecuador,,LCR,3.12,3.60,3.87,4.30,4.40,4.63,4.88,5.81,2.64,2.89,3.01,3.40,3.31,3.70,4.14,4.60
EGY,Arab Republic of Egypt,,MENA,5.52,5.87,6.10,6.26,6.34,6.45,6.51,6.71,4.74,4.88,5.11,5.25,5.30,5.39,5.47,5.78
ERI,Eritrea,,AFR,5.21,5.65,5.89,6.07,6.21,6.28,6.33,6.41,4.15,4.50,4.74,4.89,5.00,5.06,5.15,5.39
ESP,Spain,,Other,3.26,3.91,4.43,4.58,4.64,4.89,5.01,5.45,3.23,4.04,4.34,4.41,4.49,4.60,4.67,4.90
EST,Estonia,,ECA,2.64,2.66,2.68,2.72,2.70,2.73,2.81,2.89,2.75,2.78,2.80,2.84,2.82,2.85,2.95,3.04
ETH,Ethiopia,,AFR,4.70,5.33,5.60,5.85,5.92,6.12,6.25,6.60,3.98,4.30,4.52,4.70,4.73,4.89,5.03,5.35
FJI,Fiji,,EAP,3.47,3.80,4.03,4.32,4.34,4.59,4.80,5.17,2.81,3.48,3.68,3.82,3.82,4.02,4.15,4.31
FRA,France,,Other,2.97,3.10,3.22,3.48,3.43,3.67,3.98,4.42,2.94,3.04,3.14,3.39,3.33,3.54,3.80,4.37
FSM,Federated States of Micronesia,,EAP,3.94,4.21,4.51,4.75,4.77,5.07,5.19,5.34,3.11,3.44,3.69,3.89,3.96,4.14,4.20,4.27
GAB,Gabon,,AFR,4.10,4.34,4.42,4.54,4.53,4.69,4.75,4.99,3.33,3.45,3.51,3.60,3.58,3.69,3.76,3.97
GBR,United Kingdom,,Other,2.10,2.31,2.41,2.59,2.59,2.78,2.86,3.07,2.05,2.34,2.45,2.61,2.62,2.79,2.86,3.08
GEO,Georgia,,ECA,3.01,3.38,3.56,3.72,3.73,3.94,4.06,4.18,3.06,3.46,3.56,3.71,3.76,3.86,3.93,4.14
GHA,Ghana,,AFR,4.49,4.69,4.80,5.10,5.11,5.35,5.53,5.66,3.57,3.71,3.79,4.02,4.02,4.22,4.35,4.46
GIN,Guinea,,AFR,5.01,5.26,5.46,5.57,5.62,5.74,5.79,5.85,4.00,4.22,4.36,4.44,4.46,4.55,4.59,4.71
GMB,The Gambia,,AFR,5.68,5.71,5.74,5.75,5.75,5.76,5.78,5.80,4.51,4.53,4.54,4.57,4.56,4.59,4.63,4.68
GNB,Guinea-Bissau,,AFR,5.44,5.51,5.57,5.60,5.62,5.65,5.67,5.70,4.34,4.39,4.44,4.46,4.47,4.48,4.50,4.59
GNQ,Equatorial Guinea,,AFR,3.70,4.39,4.54,4.60,4.64,4.72,4.76,4.95,3.01,3.52,3.62,3.67,3.69,3.75,3.79,3.92
GRC,Greece,,Other,3.80,4.10,4.23,4.45,4.40,4.66,4.87,5.19,3.73,3.90,4.00,4.14,4.09,4.29,4.43,4.71
GRD,Grenada,,LCR,4.73,4.86,5.05,5.41,5.40,5.82,5.97,6.03,3.87,3.97,4.11,4.45,4.45,4.82,4.86,4.89
GTM,Guatemala,,LCR,4.19,4.83,5.02,5.25,5.18,5.54,5.84,6.10,3.73,3.98,4.10,4.39,4.31,4.70,4.86,5.02
GUM,Guam (U.S.),,Other,5.27,5.41,5.50,5.57,5.59,5.67,5.71,5.74,4.29,4.39,4.47,4.53,4.55,4.62,4.64,4.67
GUY,Guyana,,LCR,4.74,5.05,5.12,5.21,5.21,5.30,5.38,5.67,3.82,4.00,4.10,4.20,4.18,4.31,4.40,4.65
HKG,"Hong Kong, SAR",,EAP,3.69,3.78,3.84,3.91,3.91,3.97,4.02,4.14,3.09,3.17,3.22,3.27,3.28,3.32,3.37,3.45
HND,Honduras,,LCR,4.37,4.81,4.94,5.16,5.11,5.33,5.65,6.12,3.80,3.98,4.08,4.26,4.21,4.37,4.71,4.93
HRV,Croatia,,ECA,3.39,3.54,3.58,3.74,3.62,3.91,4.15,4.30,3.34,3.41,3.44,3.63,3.49,3.87,4.03,4.18
HTI,Haiti,,LCR,4.41,4.99,5.32,5.54,5.59,5.83,5.97,6.14,3.93,4.33,4.52,4.68,4.72,4.86,4.96,5.10
HUN,Hungary,,ECA,3.31,3.43,3.47,3.52,3.53,3.58,3.61,3.64,3.29,3.36,3.40,3.44,3.45,3.48,3.51,3.53
IDN,Indonesia,,EAP,3.45,4.27,4.45,4.62,4.61,4.78,5.05,5.74,3.18,3.48,3.58,3.77,3.68,3.91,4.21,4.71
IMN,Isle of Man (U.K.),,Other,2.60,2.68,2.70,2.72,2.72,2.75,2.76,2.79,2.61,2.70,2.73,2.76,2.77,2.80,2.82,2.84
IND,India,,SOA,3.77,4.63,4.89,5.10,5.20,5.34,5.49,5.64,3.63,4.03,4.17,4.32,4.35,4.44,4.66,4.85
IRL,Ireland,,Other,2.30,2.42,2.47,2.53,2.53,2.58,2.66,2.82,2.22,2.39,2.45,2.51,2.51,2.57,2.65,2.82
IRN,Islamic Republic of Iran,,MENA,3.67,5.01,5.31,5.52,5.56,5.86,6.03,6.23,3.44,4.59,4.76,4.92,4.93,5.14,5.30,5.47
IRQ,Iraq,,MENA,4.88,5.20,5.30,5.46,5.45,5.64,5.75,5.89,4.41,4.56,4.59,4.68,4.63,4.72,4.86,5.25
ISR,Israel,,Other,5.25,5.44,5.52,5.75,5.77,5.96,6.09,6.20,4.62,4.77,4.85,5.08,5.10,5.28,5.39,5.51
ITA,Italy,,Other,2.92,3.55,3.85,4.07,4.07,4.37,4.56,4.93,3.44,3.73,3.80,3.99,3.99,4.15,4.29,4.56
JAM,Jamaica,,LCR,4.18,4.90,5.07,5.21,5.19,5.39,5.60,5.90,3.69,4.15,4.26,4.39,4.37,4.52,4.66,4.85
JOR,Jordan,,MENA,5.50,5.82,5.90,6.02,5.99,6.17,6.29,6.40,4.71,5.11,5.20,5.32,5.28,5.49,5.58,5.72
JPN,Japan,,Other,2.94,3.21,3.38,3.61,3.61,3.87,4.01,4.27,2.81,3.05,3.21,3.45,3.46,3.68,3.80,4.11
KAZ,Kazakhstan,,ECA,3.09,3.34,3.54,3.82,3.82,4.12,4.30,4.58,3.16,3.31,3.45,3.69,3.64,3.93,4.13,4.27
KEN,Kenya,,AFR,5.02,5.35,5.47,5.78,5.71,6.11,6.32,6.60,4.04,4.19,4.26,4.50,4.43,4.75,4.92,5.15
KGZ,Kyrgyz Republic,,ECA,3.24,3.71,3.92,4.11,4.16,4.33,4.46,4.69,3.47,3.79,3.91,4.11,4.07,4.32,4.52,4.76
KHM,Cambodia,,EAP,4.27,4.74,5.04,5.09,5.15,5.22,5.31,5.45,3.60,3.99,4.09,4.13,4.14,4.19,4.24,4.34
KIR,Kiribati,,EAP,5.35,5.76,6.00,6.13,6.14,6.31,6.46,6.62,4.24,4.55,4.71,4.82,4.84,4.97,5.08,5.17
KNA,Saint Kitts and Nevis,,LCR,4.97,5.13,5.40,5.58,5.62,5.82,5.90,6.00,4.09,4.23,4.48,4.65,4.70,4.85,4.94,4.99
KOR,Republic of Korea,,EAP,3.65,3.86,3.93,3.99,3.99,4.05,4.11,4.20,3.32,3.70,3.76,3.82,3.83,3.89,3.94,4.02
KWT,Kuwait,,MENA,5.52,5.61,5.65,5.68,5.68,5.71,5.73,5.76,4.63,4.75,4.79,4.82,4.82,4.86,4.87,4.89
LAO,Lao People's Democratic Republic,,EAP,3.68,4.05,4.25,4.48,4.50,4.73,4.91,5.14,3.20,3.62,3.77,3.87,3.91,4.01,4.08,4.21
